Acanthis flammea,Common Redpoll
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Sterna hirundo,Common Tern
Streptopelia decaocto,Eurasian Collared-Dove
Strix varia,Barred Owl
Sturnella magna,Eastern Meadowlark
Sturnella neglecta,Western Meadowlark
Sturnus vulgaris,European Starling
Tachycineta bicolor,Tree Swallow
Tachycineta thalassina,Violet-green Swallow
Thryomanes bewickii,Bewick's Wren
Thryothorus ludovicianus,Carolina Wren
Toxostoma lecontei,LeConte's Thrasher
Toxostoma rufum,Brown Thrasher
Tringa flavipes,Lesser Yellowlegs
Tringa melanoleuca,Greater Yellowlegs
Tringa solitaria,Solitary Sandpiper
Troglodytes aedon,House Wren
Troglodytes hiemalis,Winter Wren
Turdus migratorius,American Robin
Tyrannus tyrannus,Eastern Kingbird
Tyrannus verticalis,Western Kingbird
Vermivora cyanoptera,Blue-winged Warbler
Vireo cassinii,Cassin's Vireo
Vireo flavifrons,Yellow-throated Vireo
Vireo gilvus,Warbling Vireo
Vireo olivaceus,Red-eyed Vireo
Vireo plumbeus,Plumbeous Vireo
Vireo solitarius,Blue-headed Vireo
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Zenaida macroura,Mourning Dove
Zonotrichia albicollis,White-throated Sparrow
Zonotrichia atricapilla,Golden-crowned Sparrow
Zonotrichia leucophrys,White-crowned Sparrow
